Country;Happiness Score;Lower Confidence Interval;Upper Confidence Interval;GDP per Capita;Social Support;Healthy Life Expectancy;Freedom to Make Life Choice;Perception of Corruption;Generosity;Dystopia Residual
Dominican Republic;5.823;5.679;5.967;1.517;1.272;0.511;0.730;0.196;0.086;1.512
Mauritius;5.816;5.706;5.927;1.570;1.358;0.490;0.641;0.118;0.123;1.517
Moldova;5.816;5.702;5.930;1.385;1.277;0.542;0.695;0.044;0.077;1.795
Russia;5.785;5.712;5.859;1.642;1.351;0.531;0.551;0.121;0.138;1.451
Bolivia;5.784;5.674;5.895;1.217;1.179;0.488;0.719;0.061;0.100;2.020
Ecuador;5.725;5.599;5.850;1.315;1.151;0.640;0.606;0.078;0.087;1.846
Kyrgyzstan;5.714;5.632;5.795;1.054;1.477;0.588;0.834;0.030;0.225;1.505
Montenegro;5.707;5.599;5.815;1.571;1.318;0.587;0.632;0.132;0.110;1.357
Mongolia;5.696;5.610;5.783;1.353;1.511;0.400;0.501;0.055;0.237;1.640
Colombia;5.695;5.584;5.806;1.437;1.241;0.648;0.644;0.059;0.072;1.596
Venezuela;5.607;5.489;5.725;0.000;1.321;0.491;0.518;0.086;0.192;2.998
Indonesia;5.568;5.466;5.670;1.361;1.184;0.472;0.779;0.055;0.399;1.318
Bulgaria;5.463;5.357;5.569;1.629;1.469;0.567;0.620;0.006;0.083;1.088
Armenia;5.455;5.350;5.560;1.444;1.154;0.603;0.650;0.173;0.051;1.379
South Africa;5.422;5.295;5.549;1.389;1.369;0.322;0.537;0.034;0.078;1.693
North Macedonia;5.369;5.270;5.468;1.475;1.277;0.569;0.580;0.015;0.194;1.260
Algeria;5.364;5.251;5.476;1.324;1.191;0.568;0.247;0.200;0.091;1.743
Hong Kong S.A.R. of China;5.316;5.229;5.403;1.909;1.184;0.857;0.485;0.402;0.147;0.333
Albania;5.304;5.168;5.440;1.438;0.924;0.638;0.690;0.049;0.138;1.428
Tajikistan;5.281;5.201;5.361;;;;;;;
Congo (Brazzaville);5.221;5.047;5.396;0.892;0.622;0.306;0.523;0.138;0.124;2.617
Mozambique;5.216;5.027;5.406;0.560;0.883;0.156;0.728;0.196;0.158;2.536
Georgia;5.185;5.087;5.283;1.467;0.990;0.524;0.680;0.174;0.000;1.349
Iraq;5.166;5.049;5.283;1.249;0.996;0.498;0.425;0.048;0.141;1.809
Nepal;5.158;5.027;5.290;0.965;0.990;0.443;0.653;0.115;0.209;1.783
Laos;5.139;5.017;5.261;1.208;0.846;0.423;0.796;0.167;0.170;1.529
Gabon;5.106;4.969;5.243;1.403;1.038;0.344;0.516;0.100;0.045;1.660
Ivory Coast;5.080;4.936;5.224;1.080;0.578;0.288;0.547;0.164;0.120;2.303
Guinea;5.023;4.881;5.166;0.831;0.622;0.236;0.521;0.107;0.210;2.497
Turkiye;4.975;4.866;5.085;1.702;1.175;0.631;0.202;0.115;0.068;1.083
Senegal;4.969;4.841;5.096;0.927;0.751;0.392;0.607;0.069;0.152;2.071
Iran;4.923;4.822;5.024;1.435;1.136;0.571;0.366;0.123;0.235;1.057
Azerbaijan;4.893;4.768;5.018;1.433;0.876;0.496;0.668;0.199;0.112;1.110
Nigeria;4.881;4.744;5.018;1.042;1.075;0.256;0.566;0.019;0.201;1.722
State of Palestine;4.879;4.753;5.006;;;;;;;
Cameroon;4.874;4.753;4.996;0.943;0.856;0.288;0.521;0.060;0.126;2.080
Ukraine;4.873;4.758;4.988;1.350;1.315;0.513;0.631;0.025;0.285;0.753
Namibia;4.832;4.705;4.958;1.266;1.212;0.307;0.470;0.061;0.069;1.446
Morocco;4.795;4.677;4.912;1.213;0.471;0.495;0.631;0.082;0.042;1.861
Pakistan;4.657;4.535;4.779;1.069;0.600;0.321;0.542;0.074;0.144;1.907
Niger;4.556;4.401;4.712;0.573;0.677;0.293;0.615;0.147;0.145;2.107
Burkina Faso;4.548;4.410;4.686;0.756;0.685;0.274;0.483;0.179;0.173;1.999
Mauritania;4.505;4.337;4.673;1.078;0.705;0.400;0.343;0.198;0.133;1.649
Gambia;4.485;4.344;4.625;0.750;0.684;0.330;0.459;0.048;0.324;1.890
Chad;4.471;4.313;4.630;0.603;0.805;0.199;0.411;0.113;0.218;2.122
Kenya;4.470;4.344;4.595;1.037;0.895;0.353;0.519;0.069;0.282;1.316
Tunisia;4.422;4.338;4.505;1.306;0.955;0.579;0.254;0.018;0.024;1.285
Benin;4.377;4.245;4.510;0.914;0.128;0.284;0.567;0.252;0.112;2.121
Uganda;4.372;4.243;4.501;0.772;1.151;0.373;0.587;0.054;0.178;1.256
Myanmar;4.354;4.208;4.501;0.978;0.988;0.436;0.450;0.174;0.401;0.928
Cambodia;4.341;4.236;4.446;1.011;1.019;0.442;0.863;0.071;0.170;0.765
Ghana;4.289;4.182;4.396;1.077;0.747;0.360;0.623;0.028;0.183;1.273
Liberia;4.269;4.063;4.474;0.619;0.673;0.301;0.546;0.075;0.178;1.878
Mali;4.232;4.117;4.347;0.747;0.688;0.267;0.586;0.090;0.120;1.734
Madagascar;4.228;4.097;4.359;0.628;0.823;0.333;0.250;0.123;0.172;1.897
Togo;4.214;4.098;4.330;0.758;0.586;0.320;0.453;0.156;0.127;1.814
Jordan;4.186;4.066;4.306;1.262;0.983;0.594;0.593;0.189;0.059;0.504
India;4.054;3.985;4.123;1.166;0.653;0.417;0.767;0.122;0.174;0.756
Egypt;3.977;3.887;4.066;1.370;0.996;0.488;0.490;0.259;0.025;0.349
Sri Lanka;3.898;3.778;4.018;1.361;1.179;0.586;0.583;0.031;0.144;0.014
Bangladesh;3.886;3.778;3.994;1.122;0.249;0.513;0.775;0.167;0.140;0.919
Ethiopia;3.861;3.725;3.997;0.792;0.915;0.420;0.441;0.101;0.270;0.923
Tanzania;3.781;3.644;3.917;0.820;0.706;0.380;0.709;0.257;0.191;0.717
Comoros;3.566;3.378;3.754;0.896;0.328;0.370;0.172;0.160;0.128;1.512
Yemen;3.561;3.408;3.714;0.671;1.281;0.293;0.362;0.113;0.080;0.760
Zambia;3.502;3.368;3.636;0.899;0.809;0.264;0.727;0.109;0.168;0.526
Eswatini;3.502;3.331;3.673;1.255;0.925;0.176;0.284;0.116;0.059;0.686
Malawi;3.421;3.281;3.561;0.617;0.410;0.349;0.571;0.136;0.135;1.203
Botswana;3.383;3.209;3.558;1.445;0.969;0.241;0.567;0.082;0.014;0.066
Zimbabwe;3.341;3.226;3.457;0.748;0.850;0.232;0.487;0.131;0.096;0.797
Congo (Kinshasa);3.295;3.128;3.462;0.534;0.665;0.262;0.473;0.072;0.189;1.102
Sierra Leone;3.245;3.124;3.366;0.654;0.566;0.253;0.469;0.053;0.181;1.068
Lesotho;3.186;2.904;3.469;0.771;0.851;0.000;0.523;0.085;0.082;0.875
Lebanon;2.707;2.616;2.797;1.377;0.577;0.556;0.173;0.029;0.068;-0.073
Afghanistan;1.721;1.667;1.775;0.628;0.000;0.242;0.000;0.088;0.091;0.672
